experiment;len_T;len_V;max_id_rep;max_V_match_fraction;T_path;V_path;len_IDs_T;len_IDs_V;attack_name;num_queries;time_all;time_encode;time_reconstruct;time_subst
T1200V1000_0.7;1200;1000;2;0.7;experiment_data/medium/T1200V1000_0.7_T.csv;experiment_data/medium/T1200V1000_0.7_V.csv;3215;3407;Snake;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[7110281, 3237557, 3156616, 3224706, 3393559, 3503530, 3566851, 3936035, 3923704, 3896155, 4327659, 4100566, 4316979, 4271078, 4561652, 4579863, 4714273, 4947286, 5029487, 6092630, 5990428, 5693105, 6472924, 7344304, 6046289, 8206084, 7591537, 9614119, 8664648, 8401226, 8660639, 7864079, 8514537, 8271574, 8063862, 9663340, 10011345, 8682969, 10433038, 10029844, 11031375, 11136496, 12388261, 12457581, 10934844, 13152268, 10862713, 13303450, 11333520, 10165546];[4370140, 242403, 199993, 193922, 193113, 195742, 192952, 248833, 195602, 193882, 194602, 199572, 198182, 198712, 200662, 243273, 203532, 197162, 202812, 196803, 199082, 196562, 195632, 253563, 221693, 218473, 216083, 220022, 209002, 213813, 214633, 281383, 220493, 205342, 215633, 214983, 223253, 212082, 201892, 299433, 219312, 289793, 251743, 275493, 361194, 288413, 305653, 315713, 296194, 215673];[1941302, 2153075, 2134154, 2226105, 2376537, 2491268, 2546329, 2853003, 2895493, 2894543, 3280747, 3080525, 3299898, 3264047, 3491840, 3508640, 3678661, 3922425, 4019366, 5056808, 4930487, 4643373, 5406682, 6175031, 4934376, 6928018, 6252671, 5250840, 7248332, 7130251, 6816328, 6661555, 7356693, 6727157, 6989779, 8326034, 8316695, 7494636, 9109894, 8183173, 9427257, 9515948, 9705671, 10411038, 9086703, 9844401, 9307736, 11769934, 9674461, 9033293];[798839, 842079, 822469, 804679, 823909, 816520, 827570, 834199, 832609, 807730, 852310, 820469, 818899, 808319, 869150, 827950, 832080, 827699, 807309, 839019, 860859, 853170, 870610, 915710, 890220, 1059593, 1122783, 4143257, 1207314, 1057162, 1629678, 921141, 937351, 1339075, 858450, 1122323, 1471397, 976251, 1121252, 1547238, 1384806, 1330755, 2430847, 1771050, 1486947, 3019454, 1249324, 1217803, 1362865, 916580]
T1300V1000_0.3;1300;1000;2;0.3;experiment_data/medium/T1300V1000_0.3_T.csv;experiment_data/medium/T1300V1000_0.3_V.csv;3457;3006;Snake;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[7632776, 3189197, 3141845, 3265437, 3428829, 3537589, 3665132, 3830054, 4005076, 3978335, 4405780, 4974996, 4361910, 4560892, 4633413, 4581932, 4946927, 5386211, 5426701, 5921427, 6897268, 5598054, 6679207, 6935368, 5862787, 6925849, 7002480, 9706141, 7710938, 7003369, 7962190, 8344596, 7864139, 9163194, 9220065, 8928742, 9442138, 11030485, 10006803, 12169908, 11288168, 12556982, 14839538, 11619141, 13790386, 14723367, 13260160, 13193810, 14899889, 12699445];[4733463, 298064, 233192, 232183, 232933, 233222, 238963, 295303, 236533, 236783, 252763, 235972, 325054, 251203, 236493, 290823, 236833, 246093, 252272, 247853, 251543, 260193, 249103, 311533, 249583, 246463, 244673, 253443, 250113, 246252, 243243, 315344, 266132, 248013, 247333, 257303, 252543, 261813, 265663, 348364, 303623, 305563, 370074, 332043, 372984, 377734, 369004, 397905, 337884, 352164];[2202745, 2203535, 2217426, 2325406, 2492868, 2600570, 2727361, 2852463, 3084645, 3055844, 3450739, 3890144, 3334188, 3594611, 3704022, 3601541, 3996916, 4417850, 4429560, 4854785, 5827586, 4579792, 5599344, 5884407, 4906856, 5964918, 6047889, 5490793, 6745847, 6048679, 6685946, 7222022, 6865758, 7790558, 8166263, 7898730, 8035812, 9819651, 8714829, 10036624, 9970893, 10763692, 11776964, 10122695, 11591371, 11329138, 11478490, 11227767, 11512380, 11338369];[696568, 687598, 691227, 707848, 703028, 703797, 698808, 682288, 683898, 685708, 702278, 848880, 702668, 715078, 692898, 689568, 713178, 722268, 744869, 818789, 818139, 758069, 830760, 739428, 706348, 714468, 709918, 3961905, 714978, 708438, 1033001, 807230, 732249, 1124623, 806469, 772709, 1153783, 949021, 1026311, 1784920, 1013652, 1487727, 2692500, 1164403, 1826031, 3016495, 1412666, 1568138, 3049625, 1008912]
T1200V1000_0.0;1200;1000;2;0.0;experiment_data/medium/T1200V1000_0.0_T.csv;experiment_data/medium/T1200V1000_0.0_V.csv;3190;2665;Snake;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[6902859, 2938884, 3288107, 3203737, 3522570, 3889435, 3564761, 5063307, 5041647, 4608963, 6004308, 5522033, 4115267, 5131658, 5720205, 4870715, 5847656, 5469992, 6878518, 7113911, 9113643, 7084431, 9402897, 7894839, 8331525, 8685438, 7948681, 18598281, 9679131, 9362247, 11386100, 8889921, 10176676, 12227709, 9961684, 10305976, 12787376, 11293708, 11893426, 13337971, 11867854, 13204560, 11597222, 11241307, 11839965, 14038209, 13497643, 10714472, 16687451, 12135748];[4386320, 238443, 199972, 216183, 201672, 204142, 205343, 251503, 209662, 248753, 262003, 231463, 213353, 210192, 223053, 302443, 241692, 234692, 222092, 309643, 347614, 312724, 265554, 331684, 358384, 369194, 393125, 262313, 324174, 269543, 302114, 424385, 373645, 352074, 361824, 315943, 303824, 309513, 281634, 369114, 434065, 367654, 484946, 312903, 455465, 317403, 312093, 361864, 306034, 311984];[1914942, 2080364, 2476628, 2378557, 2692311, 3048155, 2740511, 4003305, 3857404, 3360538, 4789744, 4325249, 3255357, 4084627, 4356639, 3723153, 4537892, 4465841, 5609714, 5788326, 7327783, 5528193, 7764218, 6374772, 6593855, 6954349, 6683576, 6676296, 8039592, 8090632, 8798390, 7186672, 8496916, 9622890, 8495727, 9008152, 10133675, 9937143, 10187176, 10429849, 10182445, 11577042, 9273595, 9778451, 9903613, 11423280, 12121818, 9140954, 12481852, 10661511];[601597, 620077, 611507, 608997, 628587, 637138, 618907, 808499, 974581, 999672, 952561, 965321, 646557, 836839, 1140513, 845119, 1068072, 769459, 1046712, 1015942, 1438246, 1243514, 1373125, 1188383, 1379286, 1361895, 871980, 11659672, 1315365, 1002072, 2285596, 1278864, 1306115, 2252745, 1104133, 981881, 2349877, 1047052, 1424616, 2539008, 1251344, 1259864, 1838681, 1149953, 1480887, 2297526, 1063732, 1211654, 3899565, 1162253]
T1300V1000_1.0;1300;1000;2;1.0;experiment_data/medium/T1300V1000_1.0_T.csv;experiment_data/medium/T1300V1000_1.0_V.csv;3318;3784;Snake;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[7851779, 3370857, 3366528, 3466170, 3691422, 3878835, 3854063, 4262018, 4342369, 4426751, 4843685, 4529092, 4643573, 5025847, 4910256, 4885325, 5049676, 5533373, 5332350, 6105790, 6518063, 6016259, 6561215, 7111231, 6437113, 7735208, 7129211, 10563291, 7651847, 7568607, 9123674, 9016652, 9481118, 10234496, 9417328, 9979333, 11884085, 10974415, 11997766, 12413882, 12524502, 13486543, 12608124, 13763956, 13643345, 14647327, 13636634, 14981030, 14860669, 13389592];[4755294, 305183, 232972, 231103, 231683, 232333, 234092, 302723, 232983, 254963, 244503, 236033, 238573, 248293, 240393, 295913, 253922, 247193, 238672, 237203, 240692, 247933, 241093, 316964, 254813, 256523, 254963, 255433, 274523, 256713, 240683, 310923, 271633, 284773, 279104, 281303, 277223, 265813, 280113, 407865, 347053, 447665, 410975, 397974, 456175, 396214, 376204, 322584, 397034, 342934];[2197135, 2183275, 2255126, 2348867, 2569859, 2747982, 2726921, 3022235, 3209796, 3271988, 3665131, 3385349, 3455399, 3788353, 3735802, 3690572, 3894654, 4372680, 4188688, 4927466, 5318010, 4838595, 5361831, 5779376, 5268680, 6557795, 5948568, 5582474, 6444793, 6377123, 7595456, 7678537, 7945220, 8368545, 7884949, 8288254, 9322276, 9256946, 10080224, 9375497, 10409758, 10800063, 9465168, 11411540, 11102966, 11059866, 11477660, 12623383, 11385730, 11496491];[899350, 882399, 878430, 886200, 889880, 898520, 893050, 937060, 899590, 899800, 934051, 907710, 949601, 989201, 934061, 898840, 901100, 913500, 904990, 941121, 959361, 929731, 958291, 1014891, 913620, 920890, 925680, 4725384, 932531, 934771, 1287535, 1027192, 1264265, 1581178, 1253275, 1409776, 2284586, 1451656, 1637429, 2630520, 1767691, 2238815, 2731981, 1954442, 2084204, 3191247, 1782770, 2035063, 3077905, 1550167]
T1400V1000_0.6;1400;1000;2;0.6;experiment_data/medium/T1400V1000_0.6_T.csv;experiment_data/medium/T1400V1000_0.6_V.csv;3720;3411;Snake;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[8355554, 3592231, 3657032, 3863994, 4029386, 4191087, 4387900, 4592833, 4840965, 4965745, 5874027, 5488693, 5454272, 6148399, 6354552, 6223621, 6947299, 6418763, 6941659, 7257703, 7739777, 6830337, 8291545, 8766340, 7899650, 9639100, 9807422, 6864379, 8939731, 9045773, 8011111, 8739200, 9277106, 8236924, 10652001, 10550050, 9385187, 11754262, 12440672, 11058885, 11420739, 13684206, 11543800, 13744096, 12960708, 12395920, 12179388, 13137840, 9313755, 11982787];[5161478, 316334, 267123, 266203, 269073, 270612, 269403, 325354, 275204, 278392, 276623, 281503, 277243, 278853, 274553, 337284, 277293, 292193, 282523, 294553, 280103, 299913, 297704, 381294, 314074, 340664, 322674, 300734, 289513, 305714, 289913, 358404, 316974, 309224, 323123, 343534, 313664, 343033, 349244, 559106, 554326, 450055, 467925, 424385, 440435, 334403, 369654, 368634, 390724, 306384];[2403007, 2491898, 2601209, 2803852, 2961274, 3122295, 3300918, 3431629, 3720792, 3806053, 4746944, 4300929, 4304319, 5003387, 5219659, 5001667, 5639635, 5202519, 5669524, 5990539, 6385702, 5566873, 6893728, 7270753, 6351802, 8187743, 8407295, 5737686, 7741648, 7778099, 6816728, 7465165, 7997001, 6946949, 9257135, 9089403, 8071452, 9913422, 10464629, 8966891, 9241665, 11451781, 9568688, 11574461, 11354709, 10613321, 10424659, 11176567, 8033871, 10701581];[791069, 783999, 788700, 793939, 799039, 798180, 817579, 835850, 844969, 881300, 850460, 906261, 872710, 866159, 860340, 884670, 1030371, 924051, 989612, 972611, 1073972, 963551, 1100113, 1114293, 1233774, 1110693, 1077453, 825959, 908570, 961960, 904470, 915631, 963131, 980751, 1071743, 1117113, 1000071, 1497807, 1626799, 1532888, 1624748, 1782370, 1507187, 1745250, 1165564, 1448196, 1385075, 1592639, 889160, 974822]
T1400V1000_0.0;1400;1000;2;0.0;experiment_data/medium/T1400V1000_0.0_T.csv;experiment_data/medium/T1400V1000_0.0_V.csv;3706;2675;Snake;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[7736018, 3172597, 3266928, 3420279, 3918354, 3659520, 5995757, 3996826, 3942444, 4059787, 4248669, 5982868, 5245899, 4718954, 5083838, 5932157, 5785756, 7352633, 5327560, 5358321, 5608263, 5637504, 5866337, 5957368, 6702226, 6074600, 6075279, 6554155, 6523605, 7343293, 8435866, 7103132, 6976310, 7294813, 7487375, 9553838, 8001362, 8371775, 9622939, 10979075, 9329227, 8726709, 9112173, 9410257, 9081884, 9357007, 8909812, 9668511, 12595163, 9957873];[5007927, 329554, 258383, 252853, 254583, 269292, 253792, 369444, 255122, 257423, 256703, 253003, 283963, 273544, 267583, 336684, 273043, 293833, 298003, 274523, 265603, 282293, 267753, 337094, 271453, 296504, 268533, 264893, 276623, 279453, 292603, 362755, 292684, 269293, 300003, 287853, 291224, 301213, 309153, 374124, 361365, 347454, 296403, 308194, 324334, 302784, 321874, 300804, 334754, 356124];[2117714, 2234316, 2387667, 2550939, 3037755, 2779211, 4703933, 3008435, 3076726, 3176046, 3370579, 5087188, 4320419, 3812223, 4177877, 4932586, 4871786, 6408032, 4388979, 4440221, 4697963, 4687914, 4877235, 4991566, 5732085, 5125128, 5161839, 5561623, 5560784, 6387603, 7410744, 6071289, 6030848, 6350633, 6458814, 8496756, 6971710, 7318733, 8596538, 9761202, 8253874, 7660187, 8103442, 8289644, 8029561, 8289294, 7883170, 8681469, 11482770, 8814040];[610377, 608727, 620878, 616487, 626016, 611017, 1038032, 618947, 610596, 626318, 621387, 642677, 641517, 633187, 638378, 662887, 640927, 650768, 640578, 643577, 644697, 667297, 721349, 628708, 698688, 652968, 644907, 727639, 686198, 676237, 732519, 669088, 652778, 674887, 728558, 769229, 738428, 751829, 717248, 843749, 713988, 719068, 712328, 812419, 727989, 764929, 704768, 686238, 777639, 787709]
T1200V1000_0.1;1200;1000;2;0.1;experiment_data/medium/T1200V1000_0.1_T.csv;experiment_data/medium/T1200V1000_0.1_V.csv;3215;2740;Snake;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[8877431, 4447590, 4671344, 4559053, 4899175, 5300310, 6069599, 7273693, 7400605, 6386593, 6438823, 5898797, 7448744, 8251735, 7913240, 5522893, 6107279, 8821010, 9454477, 8087801, 6501804, 9834302, 10009625, 7534434, 8040931, 10120325, 8463217, 8553128, 10744493, 10687632, 8245873, 10796893, 9888581, 10762112, 11474490, 10665111, 11037975, 11341569, 11218077, 11558731, 9597659, 12147858, 11966095, 12451562, 11364680, 11091236, 13598985, 9354476, 11286349, 11434740];[4830585, 405924, 242973, 246793, 257012, 220442, 252023, 372074, 389745, 437245, 264973, 251723, 285413, 350475, 347514, 392645, 218492, 244252, 364584, 360924, 257553, 266323, 351015, 492825, 289253, 326084, 373545, 296654, 262694, 365075, 350584, 283503, 444034, 353444, 365304, 315884, 350084, 349764, 356054, 472905, 339874, 303653, 396604, 401125, 410655, 322103, 341324, 357904, 233203, 312823];[3029194, 3122835, 3480080, 3327229, 3849724, 3966025, 4438120, 5367401, 5426442, 4698754, 4973766, 4650113, 5953098, 6367143, 6168520, 4358129, 5047728, 6932139, 7485875, 6610155, 5297541, 8020021, 8259694, 6038298, 6538404, 8398105, 6929568, 7250162, 9077983, 8919511, 7139291, 8941522, 8288254, 8921211, 9739611, 8969332, 9259035, 9539689, 9527068, 9767491, 8245223, 10520520, 10117044, 10517009, 9655480, 9530819, 11934676, 8032311, 9839202, 10027325];[1017652, 918831, 948291, 985031, 792439, 1113843, 1379456, 1534218, 1584418, 1250594, 1200084, 996961, 1210233, 1534117, 1397206, 772119, 841059, 1644619, 1604018, 1116722, 946710, 1547958, 1398916, 1003311, 1213274, 1396136, 1160104, 1006312, 1403816, 1403046, 755998, 1571868, 1156293, 1487457, 1369575, 1379895, 1428856, 1452116, 1334955, 1318335, 1012562, 1323685, 1452447, 1533428, 1298545, 1238314, 1322985, 964261, 1213944, 1094592]
T1400V1000_0.1;1400;1000;2;0.1;experiment_data/medium/T1400V1000_0.1_T.csv;experiment_data/medium/T1400V1000_0.1_V.csv;3718;2817;Snake;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[8009052, 3847784, 3980015, 3511970, 3717332, 4011576, 3993596, 4056916, 4022516, 4064956, 6818287, 4462280, 4495781, 4571302, 4939046, 4968207, 5054757, 5608874, 5862937, 5360801, 5738185, 5554063, 5784985, 5955947, 5987148, 5973578, 6935349, 6617666, 6446433, 6722546, 7014770, 8145844, 8219643, 7478056, 7644067, 7911020, 7830929, 9302237, 8197313, 8456125, 9744411, 8709389, 10290998, 11313559, 10384748, 9850342, 10130534, 9856782, 10065325, 14501924];[5243120, 304264, 279643, 280383, 272093, 263694, 265373, 326593, 262043, 253053, 272683, 288873, 264203, 259373, 258033, 317964, 259283, 263003, 268213, 286723, 286353, 273163, 266933, 334054, 272443, 269323, 271553, 315994, 278913, 278343, 283814, 384685, 322563, 339654, 298213, 289683, 305973, 287994, 288203, 374464, 309394, 299883, 322724, 335834, 393764, 337764, 314433, 352004, 351054, 316743];[2136594, 2874613, 3049884, 2583779, 2800602, 3107865, 3061766, 3062165, 3114416, 3167165, 5683765, 3525890, 3579481, 3653981, 4011875, 3987596, 4122857, 4673203, 4917636, 4407930, 4791005, 4620353, 4801184, 4950376, 5046498, 5042777, 5965617, 5595144, 5484812, 5756786, 6028848, 7051951, 7101161, 6411373, 6633976, 6884238, 6798837, 8303985, 7182591, 7334393, 8725319, 7656897, 9179165, 10102945, 9163304, 8654268, 9057173, 8732670, 8962252, 13220800];[629338, 668907, 650488, 647808, 644637, 640017, 666457, 668158, 646057, 644738, 861839, 647517, 652097, 657948, 669138, 662647, 672617, 672668, 677088, 666148, 660827, 660547, 716868, 671517, 668207, 661478, 698179, 706528, 682708, 687417, 702108, 709208, 795919, 727029, 711878, 737099, 726119, 710258, 726519, 747268, 709698, 752609, 789109, 874780, 827680, 858310, 758928, 772108, 752019, 964381]
T500V1000_0.0;500;1000;2;0.0;experiment_data/medium/T500V1000_0.0_T.csv;experiment_data/medium/T500V1000_0.0_V.csv;1350;2666;Snake;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[3470429, 1838690, 2024332, 1877822, 1956542, 2754711, 2552778, 2666590, 2937433, 2591209, 2906894, 3395460, 3482249, 2955813, 2785911, 3425559, 3252616, 2835092, 3969126, 3396650, 3390070, 4058186, 3917585, 4282039, 3749923, 4130097, 3877563, 4191809, 3772542, 4306869, 4753805, 5028486, 3044284, 4039266, 4515301, 4498101, 3649271, 4011476, 6107980, 5161189, 4780035, 3888985, 4681573, 5780987, 5776624, 4393129, 4456021, 5658384, 4316228, 5118037];[1878841, 110321, 97521, 93572, 93861, 88571, 105791, 141482, 92171, 111831, 106462, 123922, 114921, 113071, 88761, 110951, 111981, 103301, 101382, 142602, 111852, 95321, 121832, 162312, 138702, 150902, 118311, 107082, 126841, 97981, 116532, 141401, 163872, 87651, 108471, 128031, 116251, 99652, 100392, 248143, 148172, 133602, 134091, 136192, 152291, 117061, 99121, 110561, 124761, 91890];[952681, 1054782, 1188243, 1064992, 1159993, 1636718, 1487466, 1651938, 1850851, 1656319, 1852972, 2210235, 2117024, 2082204, 1933402, 2270456, 2174375, 1963432, 2473958, 2253396, 2434578, 2735121, 2759131, 2842312, 2648130, 2802662, 2762871, 2956584, 2698091, 3064375, 3285038, 3480769, 2244535, 3056325, 3369808, 3324918, 2732831, 2973143, 4550731, 3834263, 3643692, 2824313, 3360078, 4418581, 4338759, 3311767, 3499630, 4430720, 3448179, 3753953];[638907, 673587, 738568, 719258, 702688, 1029422, 959521, 873170, 994411, 823059, 947460, 1061303, 1250304, 760538, 763748, 1044152, 966260, 768359, 1393786, 1000652, 843640, 1227744, 1036622, 1277415, 963091, 1176533, 996381, 1128143, 947610, 1144513, 1352235, 1406316, 635877, 895290, 1037022, 1045152, 800189, 938681, 1456857, 1078783, 988171, 931070, 1187404, 1226214, 1285574, 964301, 857270, 1117103, 743288, 1272194]
T500V1000_0.7;500;1000;2;0.7;experiment_data/medium/T500V1000_0.7_T.csv;experiment_data/medium/T500V1000_0.7_V.csv;1337;2995;Snake;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[3650432, 2019872, 2112514, 2170564, 2320626, 2368058, 2447358, 2303467, 1857111, 2075513, 2677420, 3084466, 3237227, 3255847, 2665651, 2731960, 2160564, 2530939, 3074025, 2876533, 3349698, 3237387, 2981054, 2541189, 3893514, 3684202, 3183116, 2826592, 3738112, 4057516, 3649342, 3449849, 4304159, 3963934, 5309411, 3350609, 3642572, 3736102, 4213978, 3976405, 4137607, 4341259, 4615143, 4097227, 5022688, 4322929, 4313949, 4138337, 5172928, 4719974];[1875472, 109081, 97381, 88971, 85281, 89852, 99891, 144982, 87461, 84301, 86611, 103382, 96361, 114221, 104891, 123431, 87541, 83311, 88861, 94121, 93911, 97141, 104231, 123251, 84381, 99821, 116761, 95581, 90241, 111271, 115972, 121301, 90641, 122471, 109801, 129162, 88031, 136601, 105591, 182122, 90041, 137041, 118752, 134542, 88372, 105641, 110361, 104391, 95841, 129641];[1035391, 1087862, 1139823, 1287224, 1384786, 1389126, 1547408, 1371625, 1064242, 1239874, 1602658, 2027023, 1996282, 2074134, 1739840, 1811990, 1373715, 1703440, 2064054, 1969443, 2328826, 2052234, 1989162, 1693679, 2659430, 2415737, 2212925, 1981372, 2554229, 2672230, 2626910, 2579290, 2961723, 2846692, 3785723, 2472938, 2698591, 2637520, 3030745, 2977304, 2934553, 3021164, 3247237, 3215657, 3687302, 3113736, 3123456, 3178306, 3847503, 3480160];[739569, 822929, 875310, 794369, 850559, 889080, 800059, 786860, 705408, 751338, 988151, 954061, 1144584, 1067492, 820920, 796539, 699308, 744188, 921110, 812969, 926961, 1088012, 887661, 724259, 1149703, 1168644, 853430, 749639, 1093642, 1274015, 906460, 749258, 1251795, 994771, 1413887, 748509, 855950, 961981, 1077642, 816979, 1113013, 1183054, 1249154, 747028, 1247014, 1103552, 1080132, 855640, 1229584, 1110173]
T500V1000_0.1;500;1000;2;0.1;experiment_data/medium/T500V1000_0.1_T.csv;experiment_data/medium/T500V1000_0.1_V.csv;1329;2714;Snake;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[3808603, 2113544, 2874554, 2581680, 2635251, 2171124, 1950072, 1883811, 2377247, 2767932, 2699110, 3604311, 3334258, 3502220, 2439327, 2216815, 3148235, 2813721, 2960043, 3306338, 4149587, 3253297, 2477410, 3621681, 3505450, 3620252, 3122596, 3938835, 3907575, 3709532, 3290648, 4265329, 4874035, 4492041, 3129685, 3991405, 4506432, 5219749, 3396039, 5257839, 5028758, 4722034, 4397450, 5034497, 5998999, 5011568, 4505702, 6435383, 5220410, 6386812];[1879231, 121281, 109642, 100592, 136522, 102121, 91131, 110851, 102231, 96201, 96910, 94541, 145652, 129851, 100911, 119371, 91431, 114021, 100621, 91801, 147621, 146112, 98032, 110321, 124612, 99432, 155422, 100432, 129562, 133961, 107971, 136642, 128061, 141082, 177602, 91270, 146652, 124311, 145252, 114681, 140282, 163492, 131161, 127021, 154512, 144802, 124432, 96841, 174222, 119821];[1188333, 1271625, 1437877, 1520007, 1629039, 1368745, 1145643, 1130683, 1541997, 1878762, 1729880, 2313406, 2146234, 2303967, 1591798, 1454757, 2103864, 1974492, 2041083, 2274846, 2807492, 2273326, 1640869, 2491758, 2539418, 2624490, 2149945, 2736441, 2810592, 2802472, 2367837, 3153686, 3602131, 3269147, 2325786, 3009514, 3365988, 3781753, 2638000, 3948275, 3641992, 3639962, 3384909, 3888225, 4594563, 3906605, 3545770, 5081098, 3993176, 4935366];[741039, 720638, 1327035, 961081, 869690, 700258, 713298, 642277, 733019, 792969, 872320, 1196364, 1042372, 1068402, 746618, 642687, 952940, 725208, 818339, 939691, 1194474, 833859, 738509, 1019602, 841420, 896330, 817229, 1101962, 967421, 773099, 814840, 975001, 1143843, 1081812, 626297, 890621, 993792, 1313685, 612787, 1194883, 1246484, 918580, 881380, 1019251, 1249924, 960161, 835500, 1257444, 1053012, 1331625]
T600V1000_0.3;600;1000;2;0.3;experiment_data/medium/T600V1000_0.3_T.csv;experiment_data/medium/T600V1000_0.3_V.csv;1625;2854;Snake;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[4515052, 1682869, 1835090, 2283146, 2489348, 2484357, 2548868, 2599698, 2106034, 2056933, 2534459, 3344738, 3003404, 3176856, 2299316, 3289076, 3153585, 2975024, 2941973, 2552740, 3533800, 3641671, 3858283, 2926283, 3959965, 4095818, 3744203, 2922623, 4797505, 4045766, 3273678, 3883944, 4306148, 4006765, 3222316, 5519173, 5755656, 3545410, 4454550, 4546032, 4651153, 5064676, 3851604, 4698593, 4981187, 3819422, 5658784, 4363769, 5231630, 6594345];[2198825, 128731, 103701, 103471, 108061, 120371, 107311, 160611, 110731, 101661, 100951, 113992, 104591, 114751, 104591, 125271, 108251, 153892, 114561, 116552, 101401, 119791, 120151, 149051, 101671, 124702, 119761, 111311, 102101, 132691, 118332, 131581, 132831, 128671, 119551, 116601, 184492, 142291, 107111, 188083, 108771, 152691, 135701, 106681, 150102, 140031, 103611, 121921, 104661, 151622];[890230, 930301, 1006761, 1396886, 1563077, 1630078, 1652288, 1677189, 1258094, 1306865, 1709830, 2463868, 1997653, 2309757, 1539897, 2335496, 2126454, 2135375, 2130464, 1781780, 2431027, 2603790, 2924223, 2116035, 2933363, 3125056, 2839553, 2146665, 3319998, 3166336, 2493309, 2924353, 3128145, 3042494, 2444217, 3925585, 4239379, 2728991, 3458339, 3578440, 3540111, 3843843, 3029904, 3632322, 3892945, 3004874, 4568052, 3546380, 3992226, 5334890];[1425997, 623837, 724628, 782789, 818210, 733908, 789269, 761898, 737209, 648407, 723678, 766878, 901160, 752348, 654828, 828309, 918880, 685757, 696948, 654408, 1001372, 918090, 813909, 661197, 924931, 846060, 784889, 664647, 1375406, 746739, 662037, 828010, 1045172, 835600, 658548, 1476987, 1331785, 674128, 889100, 779509, 1002271, 1068142, 685999, 959590, 938140, 674517, 987121, 695468, 1134743, 1107833]
