experiment;len_T;len_V;max_id_rep;max_V_match_fraction;T_path;V_path;len_IDs_T;len_IDs_V;attack_name;num_queries;time_all;time_encode;time_reconstruct;time_subst
T1200V1000_0.7;1200;1000;2;0.7;experiment_data/medium/T1200V1000_0.7_T.csv;experiment_data/medium/T1200V1000_0.7_V.csv;4417;3407;Baseline;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[3404328, 3395098, 3462840, 3360989, 3194677, 3197736, 3232247, 3388888, 3416379, 3355458, 3441800, 3526520, 3458379, 3449400, 3320858, 3340338, 3209966, 3190206, 3244267, 3436989, 3628581, 3485799, 3392828, 3626012, 3592401, 3598921, 3468199, 3388828, 3218446, 3222786, 3202426, 3233416, 3231917, 3323018, 3331428, 3337828, 3650201, 3638282, 3403869, 3268737, 3194327, 3185727, 3227467, 3298738, 3310668, 3282248, 6572544, 3359609, 3376379, 3533110];[1941202, 2087513, 2106094, 2100674, 1936032, 1936122, 1934762, 2071613, 2121354, 2071494, 2052854, 2223555, 2139564, 2169845, 2021213, 2075263, 1948942, 1925122, 1957082, 1971602, 2284326, 2190135, 2089813, 2228276, 2242895, 2208735, 2161044, 2126584, 1957382, 1966302, 1942702, 1974992, 1949342, 1999453, 2030893, 2055623, 2113064, 2237396, 2140725, 2001502, 1934872, 1927532, 1952272, 2007323, 2048744, 1956083, 2073503, 2052484, 2043114, 2106484];[568596, 486456, 527416, 479906, 475876, 481025, 500576, 509397, 502876, 500206, 526206, 487936, 497576, 480766, 489545, 479216, 487295, 476315, 487445, 543776, 503475, 491885, 490036, 537257, 504596, 510766, 491915, 477576, 483806, 477775, 480386, 483435, 482436, 489146, 490886, 489255, 601987, 524976, 486166, 475826, 475506, 474875, 480196, 498575, 490685, 496665, 505356, 506056, 517976, 541206];[894530, 821129, 829330, 780409, 782769, 780589, 796909, 807878, 792149, 783758, 862740, 815029, 821239, 798789, 810100, 785859, 773729, 788769, 799740, 921611, 840780, 803779, 812979, 860479, 844910, 879420, 815240, 784668, 777258, 778709, 779338, 774989, 800139, 834419, 809649, 792950, 935150, 875910, 776978, 791409, 783949, 783320, 794999, 792840, 771239, 829500, 3993685, 801069, 815289, 885420]
T1300V1000_0.3;1300;1000;2;0.3;experiment_data/medium/T1300V1000_0.3_T.csv;experiment_data/medium/T1300V1000_0.3_V.csv;4759;3006;Baseline;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[3492169, 3325718, 3283958, 3243218, 3367628, 3333978, 3292427, 3339837, 3407608, 3678593, 3518849, 3530841, 3544569, 3478641, 3332108, 3350138, 3295048, 3330908, 3381118, 3325148, 3288778, 6823677, 3412420, 3367258, 3348187, 3394858, 3354348, 3396468, 3323358, 3281578, 3299637, 3334558, 3314459, 3393188, 3438749, 3397839, 3382187, 3344958, 3459969, 3420429, 3271657, 3279687, 3301287, 3333067, 3308167, 3345008, 3350868, 3470030, 3423799, 3358168];[2212455, 2132375, 2098034, 2061984, 2130044, 2150854, 2087043, 2129234, 2140614, 2346187, 2244345, 2292586, 2183684, 2239136, 2129824, 2121424, 2095664, 2089694, 2178165, 2138415, 2093834, 2091614, 2163395, 2158604, 2143654, 2112944, 2154444, 2128424, 2073784, 2083984, 2085094, 2150945, 2120135, 2086154, 2218275, 2189955, 2151624, 2112275, 2216645, 2156455, 2077403, 2095474, 2092713, 2136664, 2124424, 2091524, 2088634, 2209115, 2227255, 2135644];[530466, 508346, 503196, 512346, 539667, 509116, 510897, 517006, 531456, 554927, 543576, 531476, 593987, 521786, 521046, 525466, 520566, 534926, 528616, 513115, 512866, 526116, 552486, 527236, 516605, 557946, 525166, 510526, 511795, 511486, 520215, 513095, 522796, 541596, 537256, 525586, 529526, 536375, 526456, 511206, 513106, 518826, 531966, 524585, 509875, 507676, 534006, 533277, 517726, 525636];[749248, 684997, 682728, 668888, 697917, 674008, 694487, 693597, 735538, 777479, 730928, 706779, 766898, 717719, 681238, 703248, 678818, 706288, 674337, 673618, 682078, 4205947, 696539, 681418, 687928, 723968, 674738, 757518, 737779, 686108, 694328, 670518, 671528, 765438, 683218, 682298, 701037, 696308, 716868, 752768, 681148, 665387, 676608, 671818, 673868, 745808, 728228, 727638, 678818, 696888]
T1200V1000_0.0;1200;1000;2;0.0;experiment_data/medium/T1200V1000_0.0_T.csv;experiment_data/medium/T1200V1000_0.0_V.csv;4392;2665;Baseline;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[3659341, 3623982, 3589640, 3694542, 3626051, 3718692, 3833293, 3818273, 3575960, 3666871, 3217378, 3178986, 3238687, 3222027, 3440089, 3367689, 3614562, 3567421, 3581931, 3530100, 3468140, 3743822, 3415019, 3458870, 3485569, 3350228, 3278017, 3386758, 3591950, 3523969, 3575651, 3791033, 3687322, 3700692, 3430630, 3843904, 3402719, 3396308, 3596632, 3422800, 3404179, 3682572, 3446259, 3948655, 3557091, 3823674, 9783231, 3700522, 3866284, 3615421];[1967322, 2081154, 2218725, 2097224, 2171894, 2193825, 2176155, 2158004, 2202925, 2136614, 2075774, 2011933, 2020093, 2084504, 2106764, 2093424, 2110354, 2170505, 2177305, 2158785, 2155935, 2065653, 2102984, 2082574, 2063833, 2114424, 2034583, 2067883, 2153074, 2168254, 2107004, 2172864, 2282456, 2108924, 2073864, 2106534, 2077134, 2098714, 2142775, 2150515, 2125104, 2118074, 2075383, 2186725, 2157655, 2242116, 2157924, 2226995, 2254716, 2087263];[848700, 774779, 630797, 797489, 669148, 721298, 879170, 825369, 668107, 755368, 516706, 517696, 556306, 519606, 608947, 611267, 700579, 642867, 669488, 644167, 627847, 868380, 640317, 623067, 667138, 575376, 591637, 609117, 692018, 644867, 665738, 736169, 652747, 821089, 630867, 917460, 624237, 627377, 663968, 588147, 611047, 804490, 655897, 871690, 656338, 738008, 837010, 699828, 714668, 773929];[843319, 768049, 740118, 799829, 785009, 803569, 777968, 834900, 704928, 774889, 624898, 649357, 662288, 617917, 724378, 662998, 803629, 754049, 735138, 727148, 684358, 809789, 671718, 753229, 754598, 660428, 651797, 709758, 746858, 710848, 802909, 882000, 752119, 770679, 725899, 819910, 701348, 670217, 789889, 684138, 668028, 760008, 714979, 890240, 743098, 843550, 6788297, 773699, 896900, 754229]
T1300V1000_1.0;1300;1000;2;1.0;experiment_data/medium/T1300V1000_1.0_T.csv;experiment_data/medium/T1300V1000_1.0_V.csv;4620;3784;Baseline;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[3559260, 3703772, 3572981, 3453329, 3475570, 3473458, 3495120, 3510311, 3480739, 3430309, 3578031, 3568100, 3578820, 3499349, 3585151, 3614082, 3493479, 3429359, 3438139, 3475020, 3501810, 6429144, 3528260, 3596321, 3579532, 3504970, 3606031, 3612681, 3414259, 3430890, 3437759, 3490710, 3519001, 3513430, 3478930, 3614671, 3560229, 3603410, 3631642, 3764583, 3616612, 4139818, 3966935, 3467870, 3428960, 3545980, 3466779, 3618260, 3620022, 3562530];[2063143, 2181755, 2211895, 2075443, 2078394, 2101133, 2080444, 2147945, 2113084, 2082963, 2083174, 2174555, 2175334, 2114084, 2117124, 2253186, 2128724, 2074784, 2073364, 2086274, 2128914, 2095764, 2104964, 2193265, 2160305, 2121794, 2130704, 2172615, 2062173, 2084744, 2079203, 2069444, 2144375, 2079574, 2077454, 2116724, 2154724, 2224295, 2177075, 2280666, 2167005, 2157045, 2556529, 2110144, 2071714, 2117374, 2075693, 2145614, 2214106, 2205615];[529706, 568216, 501926, 513096, 510156, 516926, 526866, 512506, 506336, 503406, 555476, 515906, 531806, 509775, 538926, 501576, 498895, 504585, 505265, 513276, 520066, 502116, 532876, 512576, 527477, 515946, 542116, 497666, 500786, 500266, 500106, 530096, 505246, 513756, 526906, 562486, 516426, 505755, 531386, 528806, 516086, 700008, 515316, 504226, 508286, 499906, 505645, 530215, 511196, 503385];[966411, 953801, 859160, 864790, 887020, 855399, 887810, 849860, 861319, 843940, 939381, 877639, 871680, 875490, 929101, 859320, 865860, 849990, 859510, 875470, 852830, 3831264, 890420, 890480, 891750, 867230, 933211, 942400, 851300, 845880, 858450, 891170, 869380, 920100, 874570, 935461, 889079, 873360, 923181, 955111, 933521, 1282765, 895090, 853500, 848960, 928700, 885441, 942431, 894720, 853530]
T1400V1000_0.6;1400;1000;2;0.6;experiment_data/medium/T1400V1000_0.6_T.csv;experiment_data/medium/T1400V1000_0.6_V.csv;5122;3411;Baseline;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[4272959, 4211468, 3823015, 3716202, 3770372, 3961435, 3963605, 3710072, 3866154, 3727712, 3701043, 3736453, 3804793, 3742243, 3962876, 3821904, 3784583, 3732322, 3700032, 3854043, 4042685, 3958445, 3841654, 3915025, 3959004, 3831714, 3753082, 3748793, 3682041, 3696452, 3751703, 3717802, 3926955, 3959204, 3841953, 3730042, 3739063, 3749602, 3745681, 3877575, 3753933, 3773102, 3849984, 3871744, 3876305, 3995505, 3938604, 3673731, 3772934, 3760652];[2879253, 2878913, 2405968, 2363367, 2410827, 2551369, 2632870, 2373087, 2436648, 2398947, 2375248, 2381697, 2468548, 2391178, 2497489, 2487299, 2452358, 2406987, 2367717, 2395807, 2614439, 2531559, 2473488, 2479549, 2607219, 2480588, 2409417, 2409008, 2362697, 2351677, 2423988, 2356017, 2540729, 2576059, 2504318, 2392017, 2411688, 2399427, 2374736, 2528889, 2397267, 2408917, 2478248, 2537449, 2412278, 2582339, 2615709, 2346176, 2438758, 2397477];[563817, 549876, 553817, 555066, 568506, 578807, 546856, 559286, 565566, 552056, 556516, 554606, 547196, 563186, 579247, 556146, 547467, 546666, 555266, 604337, 553896, 581807, 572937, 599197, 561376, 559106, 556616, 558026, 547306, 561706, 551527, 568716, 565607, 580166, 566177, 556466, 548576, 575426, 575566, 568617, 571557, 564406, 567587, 554566, 601577, 572617, 556136, 548806, 551777, 561706];[829889, 782679, 863230, 797769, 791039, 831259, 783879, 777699, 863940, 776709, 769279, 800150, 789049, 787879, 886140, 778459, 784758, 778669, 777049, 853899, 874350, 845079, 795229, 836279, 790409, 792020, 787049, 781759, 772038, 783069, 776188, 793069, 820619, 802979, 771458, 781559, 778799, 774749, 795379, 780069, 785109, 799779, 804149, 779729, 862450, 840549, 766759, 778749, 782399, 801469]
T1400V1000_0.0;1400;1000;2;0.0;experiment_data/medium/T1400V1000_0.0_T.csv;experiment_data/medium/T1400V1000_0.0_V.csv;5108;2675;Baseline;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[4226427, 4258898, 4218108, 4223018, 4287019, 4214458, 4240708, 4236678, 4219468, 4206937, 4280619, 4380071, 4444210, 4223647, 4207258, 4209188, 4185319, 4206477, 4230249, 4191259, 4211138, 4194487, 4216169, 4192767, 4395531, 4529911, 4213209, 4214298, 4205598, 4214928, 4217827, 4251598, 4668204, 4891955, 4296978, 4353180, 4319058, 4252319, 4224388, 4238459, 4204057, 4285229, 4268299, 4405760, 4249929, 4202047, 4292798, 4272498, 4348979, 4303568];[2991423, 3053595, 3034685, 3032865, 3034285, 3028585, 3035744, 3048035, 3042545, 3025034, 3019264, 3063265, 3265066, 3051004, 3027415, 3011034, 3015145, 3032814, 3057545, 3014845, 3034914, 3006044, 3035925, 3018434, 3038705, 3355688, 3021235, 3033774, 3031374, 3030144, 3028574, 3072435, 3011805, 3687212, 3114415, 3117046, 3129385, 3069015, 3038984, 3055455, 3003624, 3100876, 3059695, 3217767, 3068025, 3015704, 3100835, 3036914, 3156875, 3123525];[563996, 581746, 557976, 557296, 552206, 564616, 563897, 557366, 555506, 558086, 558217, 635828, 562707, 553486, 552356, 559147, 560037, 560096, 550976, 562907, 565377, 561986, 558787, 553576, 659258, 556996, 562917, 566657, 557597, 556536, 557076, 560796, 764449, 566556, 567606, 577647, 561977, 562897, 563467, 555787, 563766, 564656, 561176, 559236, 555537, 572836, 558056, 598737, 562547, 563276];[671008, 623557, 625447, 632857, 700528, 621257, 641067, 631277, 621417, 623817, 703138, 680978, 616437, 619157, 627487, 639007, 610137, 613567, 621728, 613507, 610847, 626457, 621457, 620757, 697568, 617227, 629057, 613867, 616627, 628248, 632177, 618367, 891950, 638187, 614957, 658487, 627696, 620407, 621937, 627217, 636667, 619697, 647428, 628757, 626367, 613507, 633907, 636847, 629557, 616767]
T1200V1000_0.1;1200;1000;2;0.1;experiment_data/medium/T1200V1000_0.1_T.csv;experiment_data/medium/T1200V1000_0.1_V.csv;4417;2740;Baseline;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[3397829, 3303898, 3520111, 3819783, 3703361, 3724772, 3905614, 4406360, 4047887, 3833584, 4305370, 3894574, 3766244, 3598041, 3691263, 3370387, 3284606, 3492470, 3507769, 8252125, 3520309, 3668183, 3480479, 3799953, 3909395, 4103347, 3691692, 4090296, 3724412, 3710972, 3397908, 3318707, 3408250, 3571961, 3533000, 3537170, 3909515, 3668962, 3769432, 4343540, 3882994, 3807083, 3643711, 3672001, 4312729, 3686702, 3578121, 3504520, 3356068, 3547531];[2116474, 2163505, 2064044, 2334026, 2235765, 2319476, 2364287, 2305506, 2170015, 2124404, 2338787, 2232536, 2217576, 2277136, 2243186, 2108253, 2157064, 2105484, 2240905, 2144905, 2064223, 2193496, 2094714, 2138964, 2348187, 2346047, 2258356, 2294196, 2323286, 2311626, 2151764, 2034193, 2134805, 2169105, 2188205, 2124264, 2206275, 2178615, 2235585, 2414908, 2319326, 2336287, 2248606, 2216465, 2194485, 2311116, 2229935, 2213795, 2068363, 2172875];[565107, 502556, 659988, 716318, 703348, 646857, 700807, 1044892, 942621, 830240, 977921, 777168, 702058, 597387, 703158, 556626, 497735, 613547, 579677, 726258, 673428, 679948, 641767, 752108, 722249, 830799, 678248, 868880, 669957, 674078, 573107, 550196, 589757, 643317, 638427, 640397, 886880, 667517, 736318, 997671, 753779, 707017, 662547, 660387, 1051132, 645328, 641558, 605977, 594887, 629958];[716248, 637837, 796079, 769439, 764248, 758439, 840520, 1055962, 935251, 878940, 988662, 884870, 846610, 723518, 744919, 705508, 629807, 773439, 687187, 5380962, 782658, 794739, 743998, 908881, 838959, 926501, 755088, 927220, 731169, 725268, 673037, 734318, 683688, 759539, 706368, 772509, 816360, 822830, 797529, 930961, 809889, 763779, 732558, 795149, 1067112, 730258, 706628, 684748, 692818, 744698]
T1400V1000_0.1;1400;1000;2;0.1;experiment_data/medium/T1400V1000_0.1_T.csv;experiment_data/medium/T1400V1000_0.1_V.csv;5120;2817;Baseline;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[7287452, 3725523, 3682642, 3647353, 3855803, 4198157, 3759213, 3647292, 3643981, 3687042, 3653982, 3623231, 3706863, 3648481, 3663182, 3632692, 3685913, 3731641, 3748822, 3721302, 3681692, 3659572, 3631952, 3668233, 3747343, 3643422, 3650002, 3659062, 3629351, 3647862, 3730982, 3643872, 3641521, 3643612, 3638132, 3634542, 3737451, 3652792, 3857804, 4518201, 4418081, 3806753, 3771613, 3790143, 4001686, 3682971, 3900024, 3721733, 3766583, 3892414];[2427917, 2479989, 2459468, 2426988, 2436447, 2978473, 2469988, 2430038, 2425257, 2454068, 2424308, 2413147, 2416888, 2428877, 2440818, 2423458, 2448928, 2496938, 2453648, 2494349, 2459988, 2446288, 2414678, 2442268, 2446128, 2430598, 2429308, 2428698, 2423528, 2439388, 2437638, 2424668, 2422667, 2422278, 2435238, 2417488, 2441517, 2434348, 2478968, 3004854, 3166016, 2580439, 2463878, 2483678, 2793472, 2430947, 2669940, 2497579, 2441838, 2603530];[590607, 579446, 571047, 559807, 675168, 559427, 559657, 569997, 557457, 562227, 567026, 565217, 556637, 560476, 571017, 555317, 575857, 562286, 569206, 573406, 560106, 560606, 562426, 566647, 573387, 565197, 557967, 567916, 562726, 556297, 559666, 568966, 557966, 565077, 557146, 557196, 564256, 560846, 652238, 726958, 572847, 561136, 568116, 615137, 553986, 566316, 568637, 572517, 579837, 597067];[4268928, 666088, 652127, 660558, 744188, 660257, 729568, 647257, 661267, 670747, 662648, 644867, 733338, 659128, 651347, 653917, 661128, 672417, 725968, 653547, 661598, 652678, 654848, 659318, 727828, 647627, 662727, 662448, 643097, 652177, 733678, 650238, 660888, 656257, 645748, 659858, 731678, 657598, 726598, 786389, 679218, 665178, 739619, 691328, 654228, 685708, 661447, 651637, 744908, 691817]
T500V1000_0.0;500;1000;2;0.0;experiment_data/medium/T500V1000_0.0_T.csv;experiment_data/medium/T500V1000_0.0_V.csv;1852;2666;Baseline;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[1747510, 1955632, 1909213, 2003343, 1845101, 1998813, 1814391, 1935193, 1831881, 1764610, 1768230, 1672899, 1704269, 1747679, 2031894, 1842150, 1811921, 1825541, 1956663, 1766150, 1822960, 1807671, 1864831, 1743040, 1817910, 1779060, 1685779, 1610709, 1606878, 1685370, 1823571, 1947632, 1856750, 1844540, 1880713, 1809741, 1821450, 1826291, 1809701, 1733849, 1708699, 1673070, 1623200, 1806240, 1710320, 1742599, 1804771, 1729339, 1872921, 1833851];[854740, 983151, 961322, 998302, 894300, 950261, 874840, 964982, 957951, 884780, 947711, 850419, 866250, 841889, 956001, 902610, 864280, 870210, 873890, 844420, 853479, 911761, 854409, 850280, 937840, 925410, 890030, 823850, 811579, 827010, 921241, 1051472, 964500, 933840, 974482, 940941, 933630, 948901, 954541, 900400, 836459, 838970, 833930, 984961, 877770, 911320, 937691, 857139, 933990, 926391];[239333, 250003, 250743, 269633, 264143, 274614, 253493, 254992, 233022, 230412, 216133, 207053, 215262, 225663, 311514, 252023, 247893, 264123, 314454, 256263, 279363, 238113, 266423, 245833, 236363, 233763, 201392, 193642, 200452, 227053, 240783, 233383, 256043, 262243, 240523, 231822, 226643, 235572, 224423, 209792, 229092, 213013, 204533, 216972, 217693, 224952, 223563, 232513, 274353, 242773];[653437, 722478, 697148, 735408, 686658, 773938, 686058, 715219, 640908, 649418, 604386, 615427, 622757, 680127, 764379, 687517, 699748, 691208, 768319, 665467, 690118, 657797, 743999, 646927, 643707, 619887, 594357, 593217, 594847, 631307, 661547, 662777, 636207, 648457, 665708, 636978, 661177, 641818, 630737, 623657, 643148, 621087, 584737, 604307, 614857, 606327, 643517, 639687, 664578, 664687]
T500V1000_0.7;500;1000;2;0.7;experiment_data/medium/T500V1000_0.7_T.csv;experiment_data/medium/T500V1000_0.7_V.csv;1839;2995;Baseline;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[1766510, 1859781, 1789220, 1971582, 2201785, 1952043, 1945882, 2039534, 1919252, 1877271, 2047472, 2009364, 1917062, 1938771, 2120715, 1952703, 2014912, 2012872, 2003083, 1907291, 1879561, 2051813, 1927902, 1915151, 1902131, 1777950, 1716839, 1708640, 1709759, 1946463, 1965733, 2083074, 1988102, 2025373, 2019563, 1972572, 1931872, 1889191, 2005193, 1979443, 2063723, 1907371, 1744119, 1709550, 1694289, 1749970, 1984143, 1853382, 1896112, 1854421];[815319, 876580, 856869, 973871, 927521, 943761, 884440, 1011012, 950871, 908150, 948500, 987672, 977221, 930250, 937251, 932851, 984481, 971981, 968191, 935540, 896930, 971371, 865180, 848919, 870870, 885170, 828999, 826950, 818779, 833470, 980311, 988771, 975191, 1010132, 982761, 979331, 951731, 883910, 975001, 942471, 974881, 976171, 864379, 826430, 815739, 822099, 854050, 899260, 841140, 867790];[211153, 208432, 205112, 230463, 321154, 220193, 266843, 228223, 225283, 226433, 271393, 247983, 214883, 236513, 268623, 260753, 238393, 233242, 233993, 226393, 237572, 289053, 239623, 237602, 242912, 203312, 198582, 207113, 200222, 271654, 249053, 283734, 237023, 227042, 248643, 234193, 230242, 235863, 233523, 248613, 263693, 216672, 203252, 197062, 196643, 212823, 298654, 216263, 245993, 216972];[740038, 774769, 727239, 767248, 953110, 788089, 794599, 800299, 743098, 742688, 827579, 773709, 724958, 772008, 914841, 759099, 792038, 807649, 800899, 745358, 745059, 791389, 823099, 828630, 788349, 689468, 689258, 674577, 690758, 841339, 736369, 810569, 775888, 788199, 788159, 759048, 749899, 769418, 796669, 788359, 825149, 714528, 676488, 686058, 681907, 715048, 831439, 737859, 808979, 769659]
T500V1000_0.1;500;1000;2;0.1;experiment_data/medium/T500V1000_0.1_T.csv;experiment_data/medium/T500V1000_0.1_V.csv;1831;2714;Baseline;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[1730299, 1800831, 1754140, 1785671, 3806433, 1647369, 1695720, 1802281, 1956142, 2184765, 2141635, 2051623, 2116334, 2098944, 2071813, 1990063, 2077943, 2158374, 2103544, 2014442, 1803960, 1646910, 1687990, 1744409, 1949272, 1806380, 1868191, 2028293, 2053953, 2038103, 1982343, 2062033, 1997453, 1880741, 1978452, 1738941, 1704390, 1875522, 2146475, 2051672, 2219545, 2041642, 2098593, 1990593, 2040364, 2040723, 1995112, 1769990, 1806750, 1776270];[842289, 894080, 889270, 862930, 864460, 834439, 833560, 848820, 982531, 971171, 1019592, 1031362, 995381, 1140353, 1081212, 960471, 1020461, 1050141, 1007802, 1095552, 987261, 834070, 833870, 833719, 889280, 900220, 865079, 1032932, 1014311, 1017461, 992582, 1019071, 1009251, 961771, 999401, 927941, 851740, 888051, 1129263, 1040531, 1077732, 1007891, 1066932, 977571, 967022, 977621, 986721, 878060, 886950, 865290];[224412, 224523, 215103, 249833, 196882, 199123, 250923, 240583, 244152, 375025, 308194, 255502, 331214, 260393, 258863, 280864, 255403, 296273, 289873, 223412, 198002, 200753, 197223, 230372, 288364, 223662, 271394, 254203, 267843, 287654, 253883, 282763, 256823, 227142, 240363, 199322, 209942, 251943, 246833, 251413, 351884, 289253, 266633, 255913, 298703, 289783, 253423, 229922, 249163, 223312];[663598, 682228, 649767, 672908, 2745091, 613807, 611237, 712878, 729459, 838569, 813849, 764759, 789739, 698198, 731738, 748728, 802079, 811960, 805869, 695478, 618697, 612087, 656897, 680318, 771628, 682498, 731718, 741158, 771799, 732988, 735878, 760199, 731379, 691828, 738688, 611678, 642708, 735528, 770379, 759728, 789929, 744498, 765028, 757109, 774639, 773319, 754968, 662008, 670637, 687668]
T600V1000_0.3;600;1000;2;0.3;experiment_data/medium/T600V1000_0.3_T.csv;experiment_data/medium/T600V1000_0.3_V.csv;2227;2854;Baseline;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[1896051, 1839050, 1831771, 1835841, 1841161, 1822971, 1889960, 1819811, 1818160, 1830861, 1833300, 1833030, 1872781, 1830400, 1820621, 1825131, 1840631, 1823361, 1899831, 1843822, 1832731, 1828381, 1835400, 1847530, 1873561, 1825391, 1859291, 1842461, 1825851, 1830851, 1863412, 1841051, 1818441, 1815931, 1819201, 1821411, 1890111, 1815381, 1839951, 1815889, 1820511, 1831711, 1887951, 1821551, 1831781, 1815460, 1836461, 1816631, 1871771, 1822301];[979771, 982681, 976101, 971481, 981222, 964751, 972480, 961671, 960761, 973741, 965821, 969411, 959671, 964240, 959471, 965551, 972461, 962951, 960960, 971642, 961981, 958511, 960751, 990121, 963221, 963771, 968901, 978411, 960201, 975731, 952861, 970931, 963031, 960311, 959341, 965101, 968061, 958221, 967871, 958440, 968321, 967051, 968071, 961331, 966791, 960361, 964631, 958341, 960001, 964071];[238602, 235532, 232702, 231263, 234192, 233763, 232193, 233142, 234012, 232853, 234242, 238932, 233822, 232732, 233492, 233573, 233683, 237313, 238743, 234002, 236483, 233573, 238812, 232162, 231382, 233163, 250663, 238983, 237723, 233853, 232713, 233713, 231843, 232852, 232492, 233912, 233413, 233453, 232923, 234233, 233452, 233512, 232593, 233803, 232463, 232862, 232823, 232473, 232053, 232362];[677678, 620837, 622968, 633097, 625747, 624457, 685287, 624998, 623387, 624267, 633237, 624687, 679288, 633428, 627658, 626007, 634487, 623097, 700128, 638178, 634267, 636297, 635837, 625247, 678958, 628457, 639727, 625067, 627927, 621267, 677838, 636407, 623567, 622768, 627368, 622398, 688637, 623707, 639157, 623216, 618738, 631148, 687287, 626417, 632527, 622237, 639007, 625817, 679717, 625868]
